Term,Description,text
Association,"Information about associations in a social network with other individuals, groups, or entities e.g. friend of a friend","Association: information about associations in a social network with other individuals, groups, or entities e.g. friend of a friend"
Connection,Information about and including connections in a social network,Connection: information about and including connections in a social network
Friend,"Information about friends in a social network, including aspects of friendships such as years together or nature of friendship.","Friend: information about friends in a social network, including aspects of friendships such as years together or nature of friendship"
Group Membership,Information about groups and memberships included or associated with a social network,Group Membership: information about groups and memberships included or associated with a social network
Email Address,Information about Email address.,Email Address: information about email address
Telephone Number,Information about telephone number.,Telephone Number: information about telephone number
Browser Fingerprint,Information about the web browser which is used as a 'fingerprint',Browser Fingerprint: information about the web browser which is used as a 'fingerprint'
Device Software,Information about software on or related to a device.,Device Software: information about software on or related to a device
IP Address,Information about the Internet Protocol (IP) address of a device,IP Address: information about the internet protocol (ip) address of a device
MAC Address,Information about the Media Access Control (MAC) address of a device,MAC Address: information about the media access control (mac) address of a device
Digital Fingerprint,Information about a 'digital fingerprint' created for identification,Digital Fingerprint: information about a 'digital fingerprint' created for identification
Identifier,Information about an identifier or name used for identification,Identifier: information about an identifier or name used for identification
Birth Place,Information about birth place,Birth Place: information about birth place
Domicile,Information about domicile status e.g. which region or country a person is domiciled in,Domicile: information about domicile status e.g. which region or country a person is domiciled in
Country,"Information about country e.g. residence, travel.","Country: information about country e.g. residence, travel"
GPS Coordinate,Information about location expressed using Global Position System coordinates (GPS),GPS Coordinate: information about location expressed using global position system coordinates (gps)
Physical Address,Information about physical address.,Physical Address: information about physical address
Residency,Information about residency e.g. which region or country a person is resident in,Residency: information about residency e.g. which region or country a person is resident in
Travel History,Information about travel history,Travel History: information about travel history
User agent,Information about software acting on behalf of users e.g. web browser,User agent: information about software acting on behalf of users e.g. web browser
Group Profile,Group Profile or category profile is information and representation of characteristics associated with a group or category of individuals,Group Profile: group profile or category profile is information and representation of characteristics associated with a group or category of individuals
Individual Profile, Individual Profile or user profile is information and representation of characteristics associated with a specific individual,Individual Profile: individual profile or user profile is information and representation of characteristics associated with a specific individual
